ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
084236661X,The Strong-Willed Child: Birth Through Adolescence,James Dobson,1985,Tyndale House Publishers
708842100,A Wing and a Prayer,Graham Nown,1991,Time Warner Books UK
059042761X,Wednesday Witch,Ruth Chew,1969,Scholastic Paperbacks (Mm)
385721617,Juno &amp; Juliet: A Novel,Julian Gough,2002,Anchor Books/Doubleday
694013226,What to Expect When You Use the Potty (What to Expect Kids),Heidi Murkoff,2000,HarperFestival
553582135,Final Target,Iris Johansen,2002,Bantam Books
671034065,Mr. Perfect,Linda Howard,2000,Atria
451410777,Sleep Tight (Onyx Book),Anne Frasier,2003,Onyx Books
345418832,The Puzzled Heart (Kate Fansler Novels (Hardcover)),Amanda Cross,1998,Ballantine Books
671026801,The Hunted,Alan Jacobson,2001,Atria
671024051,Mosaic,Gayle Lynds,1998,Atria
684869829,The Courtship Gift: A Novel,Julie Parsons,2000,Simon &amp; Schuster
399147772,Orchid Blues (Holly Barker Novels (Hardcover)),Stuart Woods,2001,G. P. Putnam's Sons
440237416,Warning Signs,Stephen White,2003,Dell Publishing Company
439101336,A Christmas Carol (Scholastic Classics),Charles Dickens,2000,Scholastic
399147284,Chosen Prey,John Sandford,2001,G. P. Putnam's Sons
684832380,"MY GAL SUNDAY LARGE PRINT : \Henry and Sunday\"" Stories""",Mary Higgins Clark,1996,Simon &amp; Schuster
039914210X,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997,Putnam Pub Group
374166560,The Great Victorian Collection,Brian Moore,1975,Farrar Straus Giroux
451150635,Different Seasons M/TV,Stephen King,1986,Signet Book
006018700X,Design for Dying,Timothy Leary,1997,HarperSanFrancisco
684836483,250 Things You Can Do to Make Your Cat Adore You,Ingrid Newkirk,1998,Fireside
571174450,Touching from a Distance: Ian Curtis and Joy Division,Deborah Curtis,1996,Faber &amp; Faber
312848846,D/S: An Anti-Love Story,Gary S. Kadet,2000,Forge
8433966111,La Musica del Azar,Paul Auster,1998,Anagrama
767907817,Bookends : A Novel,Jane Green,2003,Broadway
385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday
553208845,Siddhartha,Hermann Hesse,1981,Bantam Classics
64400581,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,HarperTrophy
898861780,Snowshoeing,Gene Prater,1988,Mountaineers Books
030681188X,How to Lose Friends &amp; Alienate People,Toby Young,2002,DaCapo Press
088064219X,The Private Life of Kim Philby: The Moscow Years,Rufina Philby,2000,Fromm Intl
1904095399,Who Was Dr.Charlotte Bach?,Francis Wheen,2002,Short Books
743204158,The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History,Ellen Pollock,2002,Free Press
310225116,Springs in the Valley,L. B. Cowman,1980,Zondervan Publishing Company
385050755,The Time It Never Rained,Elmer Kelton,1973,Bantam Dell Pub Group
842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers
684823780,Mere Christianity,C. S. Lewis,1996,Simon &amp; Schuster
1576738442,The Prayer of Jabez Devotional,Bruce Wilkinson,2001,Multnomah
449219283,Snare of Serpents,Victoria Holt,1991,Ivy Books
553574965,The Last Family,John R. Miller,1997,Bantam Books
440225698,The Klone and I: A High-Tech Love Story,Danielle Steel,1999,Dell Publishing Company
440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell
394541545,Texas,James A. Michener,1990,Random House Inc
877958920,She Who Remembers,Linda Lay Shuler,1988,Arbor House Pub Co
440235758,Going Overboard,Christina Skye,2001,Island
61007129,Kane &amp; Abel,Jeffrey Archer,1993,HarperTorch
440228204,The Unprotected Witness (Laurel-Leaf Books),James Stevenson,1999,Laurel-Leaf Books
883657635,Roger Caras' Treasury of Great Cat Stories,Roger Caras,1992,BBS Publishing Corporation
425143325,Without Remorse,Tom Clancy,2004,Berkley Publishing Group
425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group
812520793,Throne of Isis,Judith Tarr,1995,Tor Books (Mm)
312109393,The Bette Davis Murder Case,George Baxt,1994,St Martins Pr
399148019,The Absence of Nectar,Kathy Hepinstall,2001,G. P. Putnam's Sons
8807014467,La Compagnia,Benni,1993,Feltrinelli
373063121,Found: One Husband (Harlequin Medical Romance),Meredith Webber,2001,Harlequin
140620869,Alice's Adventures in Wonderland (Penguin Popular Classics),Lewis Carroll,1994,Penguin Books Ltd
553801589,The Tail of the Tip-Off,RITA MAE BROWN,2003,Bantam
743411250,The Woman Next Door,Barbara Delinsky,2002,Pocket
590129988,Clockwork : Or All Wound Up,Philip Pullman,1998,Scholastic
375700684,Powder Burn (Vintage Crime/Black Lizard),CARL HIAASEN,1998,Vintage
375700692,Trap Line (Vintage Crime/Black Lizard),Carl Hiaasen,1998,Vintage Books USA
312955510,The Heart of Justice (Heart of Justice),William J. Coughlin,1995,St. Martin's Press
8880891901,Frusciante,Brizzi,1999,Baldini e Castoldi
345396537,First King of Shannara,Terry Brooks,1997,Del Rey Books
452272092,So Far from God: A Novel,Ana Castillo,1994,Plume Books
3518383620,Der Kaiser von Amerika.,George Bernard Shaw,1992,Suhrkamp
3499262967,Die Teebarone.,Hella S. Haasse,2001,Wunderlich im Rowohlt
3407808836,Jedes Sandkorn ist ein Buchstabe,Arnulf Zitelmann,2002,Beltz
3453159926,Atlantis.,Stephen King,1999,Heyne GmbH &amp; Co. KG
3499137909,Der Plan von der Abschaffung des Dunkels.,Peter Hoeg,1998,Rowohlt Tb.
747563721,The Man with the Dancing Eyes,Sophie Dahl,2003,Bloomsbury
451518845,Jane Eyre,Charlotte Bronte,1999,New Amer Library Classics
441009700,Tathea,Anne Perry,2002,Ace Books
553265571,The Grey Horse,R.A. MacAvoy,1987,Spectra Books
451521285,The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series),William Shakespeare,1993,Signet Classics
812566351,Prince of Whales,R. L. Fisher,1987,Tor Books
60502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
440911710,Camilla (Laurel Leaf Books),MADELEINE L'ENGLE,1982,Laure Leaf
140298444,S.: A Novel About the Balkans,Slavenka Drakulic,2001,Penguin Books
395869463,The Bookshop : A Novel,Penelope Fitzgerald,1997,Mariner Books
64407721,Kissing the Witch: Old Tales in New Skins,Emma Donoghue,1999,HarperTrophy
684859785,The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World,Thomas M. Disch,2000,Free Press
156806479,Selected Poems (Harvest Book),T. S. Eliot,1967,Harvest Books
553266055,All Things Wise and Wonderful,James Herriot,1981,Bantam
345441443,Cruel As the Grave,Sharon Kay Penman,2001,Fawcett Books
802132952,Naked Lunch,William S. Burroughs,1992,Grove Press
441535771,Mistress Masham's Repose,T.H. White,1989,Ace Books
812552989,First Book of Swords,Fred Saberhagen,1984,St Martins Press
451521358,Macbeth,William Shakespeare,1989,New Amer Library (Mm)
140089365,Q's Legacy,Helene Hanff,1986,Penguin Books
451455126,Night Screams: Twenty-Two Stories of Terror,Edward Gorman,1996,Roc
038072345X,Anno Dracula,Kim Newman,1994,Harper Mass Market Paperbacks
1580173144,How to Sleep Soundly Tonight: 250 Simple and Natural Ways to Prevent Sleeplessness,Barbara L. Heller,2001,Storey Books
671025570,Duane's Depressed,Larry McMurtry,1999,Pocket
553274864,A Grief Observed,C. S. Lewis,1983,Bantam Books
1888604182,Seeking Wholeness: Insight into the Mystery of Experience,Roland Evans,2001,SunShine Press Publications
805064362,After the Darkest Hour: How Suffering Begins the Journey to Wisdom,Kathleen A. Brehony,2001,Owl Books (NY)
330336215,The Picador Book of the Beach,Robert Drewe,1996,Macmillan Pub Ltd
61020710,The Color of Magic,Terry Pratchett,2000,HarperTorch
440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994,Dell Publishing Company
345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey
812572297,Callahan's Secret,Spider Robinson,2002,Tor Books
345272579,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books
385199570,The Stand (The Complete and Uncut Edition),Stephen King,1990,Doubleday Books
156007568,The Years with Laura Diaz,Carlos Fuentes,2001,Harvest Books
3423205202,Mittsommermord. Roman.,Henning Mankell,2002,Dtv
3453169247,Der Verrat.,John Grisham,2000,Heyne
3442541751,Russendisko.,Wladimir Kaminer,2002,Goldmann
3423202947,Hunde von Riga.,Henning Mankell,2000,Dtv
374332657,Holes (Newbery Medal Book),Louis Sachar,1998,Farrar
553298496,She's Not What She Seems (Sweet Valley High No. 92),Francine Pascal,1993,Sweet Valley
451528018,The Hound of the Baskervilles (Signet Classics (Paperback)),Arthur Conan Doyle,2001,Signet Classics
842321942,Second Chance (Left Behind: The Kids #2),Jerry B. Jenkins,1998,Tyndale House Publishers
842321934,The Vanishings (Left Behind: The Kids #1),Jerry B. Jenkins,1998,Tyndale House Publishers
1562475193,Josefina's Surprise: A Christmas Story (American Girls Collection (Paper)),Valerie Tripp,1997,Pleasant Company Publications
590997262,The Stranger (Animorphs (Paperback Numbered)),Katherine Applegate,1997,Scholastic
590213040,The Andalite's Gift (Animorphs : Megamorphs 1),K. A. Applegate,1997,Scholastic
439061652,Meet the Stars of Animorphs,Marie Morreale,1999,Scholastic
141304707,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,2000,Puffin Books
059048575X,101 Telephone Jokes,Katy Hall,1994,Scholastic Paperbacks (Mm)
044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,1976,Yearling
1568657803,Help! I'm Laughing and I Can't Get Up,Liz Curtis Higgs,1998,Thomas Nelson Publishers
140309578,Pippi Longstocking (Seafarer Book),Astrid Ericsson Lindgren,1997,Puffin Books
671019805,LOTSA LUCK SABRINA THE TEENAGE WITCH 10,Diana G. Gallagher,1998,Simon Spotlight Entertainment
671019791,A DOGS LIFE SABRINA THE TEENAGE WITCH 9,Cathy West,1998,Simon Spotlight Entertainment
1561565601,Sabrina: Behind the Scenes,Stefanie Scott,1997,Kids Books Inc
1584850167,Meet Kit: An American Girl : 1934 (American Girls Collection),Valerie Tripp,2000,Pleasant Company Publications
1562470752,Meet Addy: An American Girl (American Girls Collection (Paper)),Connie Porter,1993,Jump at the Sun
590386042,It's Fine to Be Nine,Patricia Maclachlan,2000,Little Apple
877191174,The Further Adventures of Hank the Cowdog (Hank the Cowdog (Paperback)),John R. Erickson,1988,Maverick Books
689817215,The View from Saturday (Jean Karl Books (Paperback)),E. L. Konigsburg,1998,Aladdin
3453025423,Roter Drache,Robert Harris,2002,Distribooks Inc
8807816806,Spiriti,Stefano Benni,2002,Distribooks Inc
8806134817,Quel Che Resta Del Giorno,Kazuo Ishiguro,1998,Einaudi
517580497,Plains of Passage (Earth's Children),Jean M. Auel,1990,Random House Inc
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications
140380361,The Root Cellar,Janet Louise Swoboda Lunn,1996,Puffin Books
394588169,Jurassic Park,MICHAEL CRICHTON,1990,Knopf
316143464,Dress Your Family in Corduroy and Denim,David Sedaris,2004,Little
038533348X,Cat's Cradle,Kurt Vonnegut,1998,Delta
1573222623,Drinking Coffee Elsewhere (Today Show Book Club #11),ZZ Packer,2003,Riverhead Books
1558746161,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998,HCI Teens
553583867,The Husband Test,Betina M. Krahn,2001,Bantam Books
553214225,Summer,Edith Wharton,1993,Bantam
394569962,The Fourth K,Mario Puzo,1991,Random House Inc
671721291,The Ship Who Searched,Anne McCaffrey,1992,Baen
553563521,Devil's Waltz (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1993,Bantam Books
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,Bantam Books
399142282,Hornet's Nest,Patricia Daniels Cornwell,1997,Putnam Publishing Group
140193383,The Tao of Love and Sex,Jolan Chang,1993,Penguin Books
1890159018,The Ethical Slut: A Guide to Infinite Sexual Possibilities,Dossie Easton,1998,Greenery Press (CA)
590429892,Way Things Work,David Macaulay,1988,Scholastic Inc
782123813,CCNA: Cisco Certified Network Associate Study Guide,Todd Lammle,1998,Sybex
782125352,CCNA Exam Notes: Cisco Certified Network Associate,Todd Lammle,1999,Sybex Inc
671004107,Contact,Carl Sagan,1997,Pocket
553213539,The Invisible Man (Bantam Classic),H.G. WELLS,1983,Bantam Classics
9681905202,La casa pierde,Juan Villoro,1999,Alfaguara
8420634778,Leon Africano,Amin Maalouf,2000,Alianza
449200396,Rabbit Run,John Updike,1982,Not Avail
425173615,Murder on St. Mark's Place (Gaslight Mysteries),Victoria Thompson,2000,Berkley Publishing Group
684186454,State of Grace,Joy Williams,1986,Scribner Book Company
006016185X,Valsalva's Maneuver: Mots Justes and Indispensable Terms,John Train,1990,Harpercollins
671766821,Soul Survivors: A New Beginning for Adults Abused As Children (Fireside),J. Patrick Gannon,1992,Simon &amp; Schuster
671683993,The Temple of My Familiar,Alice Walker,1990,Pocket
425098680,Dinner at the Homesick Restaurant,Anne Tyler,1992,Ivy Books
553245694,Still Life with Woodpecker,Tom Robbins,1981,Bantam Books
60907215,Lore of the Unicorn,Odell Shepard,1979,Harpercollins
385302274,The 27-Ingredient Chili Con Carne Murders,Nancy Pickard,1993,Bantam Dell Pub Group
670873683,London Holiday,Richard Peck,1998,Penguin USA
425168700,Fortune's Daughter,Alice Hoffman,1999,Berkley Publishing Group
375704906,Some Lie and Some Die (Vintage Crime/Black Lizard),Ruth Rendell,1999,Vintage Books USA
20519001,A Farewell to Arms (A Scribner Classic),Ernest Hemingway,1987,Simon &amp; Schuster
345426029,The Broken Hearts Club,Ethan Black,1999,Ballantine Books
60973277,The Mambo Kings Play Songs of Love,Oscar Hijuelos,1990,Perennial
439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic
679751602,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA
688127169,Running from Safety: An Adventure of the Spirit,Richard Bach,1994,Harpercollins
714832529,The Pre-Raphaelite Vision (Phaidon Miniature Editions),Editors of Phaidon Press,1994,Phaidon Press
440784743,Tales of a Fourth Grade Nothing,Judy Blume,1979,Yearling Books
812551532,The Morning River : A Novel of the Great Missouri Wilderness in 1825 (Man From Boston),W. Michael Gear,1997,Forge Books
1573247022,The Food Revolution: How Your Diet Can Help Save Your Life and Our World,John Robbins,2001,Conari Press
451132157,Rand Ayn : Atlas Shrugged (Signet Shakespeare),AYN RAND,1988,Signet Books
055315754X,Horse Play (Saddle Club (Paperback)),Bonnie Bryant,1989,Skylark Books
312263449,Honeymoon in Purdah: An Iranian Journey,Alison Wearing,2001,Picador USA
60904453,The Thurber Carnival (Harper Colophon Books),James Thurber,1975,HarperCollins
671734547,The Dead Sea Scrolls Deception,Michael Baigent,1992,Simon &amp; Schuster
812580354,Calculating God,Robert J. Sawyer,2001,Tor Science Fiction
1400076218,Jazz,TONI MORRISON,2004,Vintage
1573226106,Kitchen Table Wisdom: Stories That Heal,Rachel Naomi Remen,1997,Riverhead Books
373263678,Death Flies On Final (Wwl Mystery),Jackie Lewin,2000,Worldwide Library
553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,1983,Bantam
679447393,The Orchid Thief,SUSAN ORLEAN,1998,Random House
380718650,Fear in Fenway: A Duffy House Mystery,Crabbe Evers,1994,Harper Mass Market Paperbacks (Mm)
373263953,Poison Apples (Worldwide Library Mysteries),Nancy Wright,2001,Worldwide Library
515102652,The Cat Who Talked to Ghosts,Lilian Jackson Braun,1996,Jove Books
312263996,Timbuktu : A Novel,Paul Auster,2000,Picador
1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,Vintage
595315070,Public Spirituality : A Personal Workbook,Lisa Langford Heron,2004,iUniverse
1594200106,The Shadow of the Wind,Carlos Ruiz Zafon,2004,The Penguin Press HC
1589880013,The Verb To Bird,Peter Cashwell,2003,Paul Dry Books
553250515,The Member of the Wedding,CARSON MCCULLERS,1984,Bantam
374100128,The Corrections (Oprah Edition),Jonathan Franzen,2001,Farrar Straus Giroux
452283868,Sula,Toni Morrison,2002,Plume Books
446610380,Parable of the Talents,Octavia E. Butler,2001,Aspect
61097314,The Bean Trees,Barbara Kingsolver,1998,HarperTorch
074325547X,Plan of Attack,Bob Woodward,2004,Simon &amp; Schuster
158988003X,So Many Books: Reading and Publishing in an Age of Abundance,Gabriel Zaid,2003,Paul Dry Books
1573222453,The Kite Runner (Alex Awards (Awards)),Khaled Hosseini,2003,Riverhead Books
140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books
395873347,Roses: Easy Plants for More Beautiful Gardens (Taylor's 50 Best Series),Houghton Mifflin Company,1999,Houghton Mifflin Company
446677426,A Woman's Liberation : A Choice of Futures by and About Women,Connie Willis,2001,Aspect
393308839,Flash Fiction: Very Short Stories,James Thomas,1992,W. W. Norton &amp; Company
451524039,Diary of a Madman,Nikolai Vasilevich Gogol,1994,Signet Classics
60548533,The Buying of the President 2004 : Who's Really Bankrolling Bush and His Democratic Challengers--and What They Expect in Return (Buying of the President),Charles Lewis,2004,Perennial
1885266480,The Open Door: A Novel,Floyd Skloot,1997,Story Line Press
60987049,Microserfs,Douglas Coupland,1996,Regan Books
571169341,Arcadia,Tom Stoppard,1994,Faber &amp; Faber
60504080,Small Wonder : Essays,Barbara Kingsolver,2003,Perennial
679749861,Race Matters,Cornel West,1994,Vintage Books USA
140445277,The Brothers Karamazov (Penguin Classics),Fyodor Dostoyevsky,1993,Penguin Books
684831546,ACCORDION CRIMES,Annie Proulx,1997,Scribner
345404475,Do Androids Dream of Electric Sheep?,Philip K. Dick,1996,Del Rey Books
375404929,For the Relief of Unbearable Urges,Nathan Englander,1999,Alfred A. Knopf
684857820,Lucky,Alice Sebold,1999,Scribner
8423988767,El Vendedor De Noticias (Espasa Juvenil),Jose Luis Olaizola,2001,Espasa Calpe Mexicana
8420448583,La Ley De La Calle,Susan E. Hinton,2002,Santillana Publishing Co Inc
553291890,More Than One Universe,Arthur C. Clarke,1991,Spectra Books
586213333,Indigo 1: Nemesis (Indigo Series),Louise Cooper,1991,HarperCollins Publishers
2080707590,Lais de Marie de France,de France Marie,1997,Flammarion
2253153427,Musc,Percy Kemp,2002,Lgf
2266083309,Le Colonel Chabert,Balzac,2000,Pocket (FR)
2070383326,Les chemins de la faim,Jorge Amado,1991,Gallimard
2264010991,Nocturne indien,Antonio Tabucchi,1988,Editions 10/18
449207331,Iberia,James A. Michener,1989,Fawcett Books
60092645,My Favorite Bride,Christina Dodd,2002,Avon
451207378,Ravished (Signet Historical Romance),Virginia Henley,2002,Signet Book
61031755,The Promise in a Kiss,Stephanie Laurens,2002,Avon Books
812551583,Someplace To Be Flying (Newford),Charles de Lint,1999,Tor Fantasy
743410653,Booked to Die (Cliff Janeway Novels (Paperback)),John Dunning,2000,Pocket Star
684864711,Pure Poetry: A Novel,Binnie Kirshenbaum,2000,Simon &amp; Schuster
1582430748,The Great Petrowski: A Fable,Gina Berriault,2000,Counterpoint Press
684846861,IN THE LAND OF MEN: STORIES,Antonya Nelson,1999,Scribner
743200349,The Third Miracle : A Novel,Richard Vetere,2000,Touchstone
761521097,Today I Will Indulge My Inner Glutton: Health-Free Affirmations for Cynics,Ann Thornhill,1999,Prima Lifestyles
446674109,The Angry Clam,Erik Quisling,1998,Warner Books
849937361,Well Connected,Dianna Booher,2000,W Publishing Group
140124373,Red Dwarf,Grant Naylor,2005,Penguin Books Ltd
1853811262,Cats Eye,Margaret Atwood,1995,Trafalgar Square
749309636,Black Angel,Graham Masterton,1991,Mandarin
375704973,The Lake of Darkness,Ruth Rendell,2001,Random House~trade
034543059X,Fatal Charms and Other Tales of Today/The Mansions of Limbo (Omnibus),DOMINICK DUNNE,1999,Ballantine Books
037541309X,Balzac and the Little Chinese Seamstress,Dai Sijie,2001,Alfred A. Knopf
1580083412,What Color Is Your Parachute? A Practical Manual for Job-Hunters &amp; Career-Changers,Richard Nelson Bolles,2001,Ten Speed Press
140236716,Going in,Jenny Newman,1995,Penguin Books Ltd
380973499,War's End: An Eyewitness Account of America's Last Atomic Mission,Charles W. Sweeney,1997,William Morrow &amp; Company
031224116X,Murder on the Mauretania (George Porter Dillman and Genevieve Masefield Mysteries),Conrad Allen,2000,St. Martin's Minotaur
1557507422,The Damned Don't Drown: The Sinking of the Wilhelm Gustloff (Bluejacket Books),A. V. Sellwood,1996,Naval Institute Press
891415947,August 1944: The Campaign for France,Robert A. Miller,1996,Ballantine Books
440236304,Currahee!:  A Screaming Eagle at Normandy,Donald R. Burgett,2000,Dell Publishing Company
60937114,First Mothers: The Women Who Shaped the Presidents,Bonnie Angelo,2001,Perennial
60183527,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,1999,HarperCollins Publishers
038549565X,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,HAMPTON SIDES,2002,Anchor
743201981,Always Faithful : A Memoir of the Marine Dogs of WWII,William W. Putney,2001,Free Press
767908244,German Boy: A Child in War,WOLFGANG SAMUEL,2001,Broadway
743203399,The Wild Blue : The Men and Boys Who Flew the B-24s Over Germany 1944-45,Stephen E. Ambrose,2001,Simon &amp; Schuster
688158943,Waiting to Fly: My Escapades With the Penguins of Antarctica,Ron Naveen,1999,William Morrow &amp; Company
140018328,Kiss Kiss (French Language Edition),Roald Dahl,1978,French &amp; European Pubns
515100072,Crossed Swords,Sean Flannery,1989,Jove Books
553579606,Ashes to Ashes,TAMI HOAG,2000,Bantam
553282069,Forbidden Land : A Novel of the First Americans (First Americans Saga),WILLIAM SARABANDE,1989,Bantam
385177259,Foundation's Edge (Foundation Novels (Hardcover)),Isaac Asimov,1982,Bantam Dell Pub Group
373201451,Daddy Again (By Request) (Harlequin by Request),Dorothy Glenn,1998,Harlequin
61013439,The Run,Stuart Woods,2001,HarperTorch
553080237,A Sorrow in Our Heart: The Life of Tecumseh,Allan W. Eckert,1992,Bantam Dell Pub Group
679459596,Billy Straight: A Novel,Jonathan Kellerman,1999,Random House Trade
553578901,The Hostage Bride,Jane Feather,1998,Bantam Books
446605786,The Royals (not for sale in the UK),Kitty Kelley,1998,Warner Books
609609068,The Book of Eleanor,PAMELA KAUFMAN,2002,Crown
500011931,The case of Walter Pater,Michael Levey,1978,Thames and Hudson
531150259,Judith Gautier: A Biography,Joanna Richardson,1987,Franklin Watts
805205454,The Ladies of Seneca Falls: The Birth of the Woman's Rights Movement (Studies in the Life of Women),Miriam Gurko,1976,Pantheon Books
425193896,Cutwork,Monica Ferris,2004,Berkley Publishing Group
345382846,Here Be Dragons,Sharon Kay Penman,1993,Ballantine Books
312115067,Judith Sargent Murray: A Brief Biography With Documents (The Bedford Series in History and Culture),Sheila L. Skemp,1998,Bedford/St. Martin's
345413938,Hunger Pains: The Modern Woman's Tragic Quest for Thinness,Mary Pipher,1997,Ballantine Books
60934239,Daughters of Britannia : The Lives and Times of Diplomatic Wives,Katie Hickman,2002,Perennial
306809893,The Sisters of Henry VIII: The Tumultuous Lives of Margaret of Scotland and Mary of France,Maria Perry,2000,Da Capo Press
60185430,Ladies of the Grand Tour : British Women in Pursuit of Enlightenment and Adventure in Eighteenth-Century Europe,Brian Dolan,2001,HarperCollins
60987383,Royal Blood: Richard III and the Mystery of the Princes,Bertram Fields,2000,Regan Books
306811596,A Delusion of Satan: The Full Story of the Salem Witch Trials,Frances Hill,2002,DaCapo Press
789410842,Ultimate Christmas,Jane Newdick,1996,Dk Pub
068485080X,DIANA HER TRUE STORY COMMEMORATIVE EDITION,Andrew Morton,1997,Simon &amp; Schuster
684841347,ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH,Iyanla Vanzant,1998,Fireside
1567310265,Boost Your Brain Power : A Total Program to Strengthen and Expand Your Most Important Resource,Ellen Michaud,1997,MJF Books
044652087X,My Sergei: A Love Story,Ekaterina Gordeeva,1996,Warner Books
60176628,The Trouble With a Hot Summer: A Simona Griffo Mystery (Simona Griffo Mysteries (Hardcover)),Camilla T. Crespi,1997,HarperCollins Publishers
670855030,Insomnia,Stephen King,1994,Viking Books
684810387,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,Simon &amp; Schuster
931580439,How to Survive the Loss of a Love,Peter McWilliams,1993,Prelude Press
440183057,Stillwatch,MARY HIGGINS CLARK,1986,Dell
380709333,The Art of Living Single,Michael Broder,1990,Avon
671769200,If You Really Loved Me,Ann Rule,1992,Pocket
884042642,Self Analysis,L. Ron Hubbard,1987,Bridge Publications
440507294,Real Moments,Barbara De Angelis,1995,Dell Publishing Company
553212141,Heart of Darkness &amp; The Secret Sharer (Bantam Classics),JOSEPH CONRAD,1982,Bantam
671602705,How To Run A Traditional Jewish Household,Blu Greenberg,1985,Fireside
843946385,Drawn to the Grave,Mary Ann Mitchell,1999,Leisure Books
439978238,Viaduct Child,Patrick Wood,2003,Scholastic Point
743200985,Tis: A Memoir,Frank McCourt,2000,Simon &amp; Schuster
425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group
2070367622,Paroles,Jacques Prevert,1989,Distribooks
811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,1993,Chronicle Books
486415910,A Connecticut Yankee in King Arthur's Court (Dover Thrift Editions),Mark Twain,2001,Dover Publications
380792737,Island of the Sequined L,Christopher Moore,1998,William Morrow
1877856916,Exploring National Parks,Mary Maruca,1998,Southwest Parks &amp; Monuments Association
8807015188,La testa perduta di Damasceno Monteiro (I narratori/Feltrinelli),Antonio Tabucchi,1997,Feltrinelli
8804482001,Se Una Notte D'Inverno UN Viaggiatore,Italo Calvino,2002,Distribooks Inc
571200435,Buddha of Suburbia,Hanif Kureishi,2000,Faber Paperbacks
446604763,Mayday,Thomas Block,1998,Warner Books
60516283,Gallow's Thief,Bernard Cornwell,2003,HarperTorch
1590210301,Peacetalk 101,Suzette Haden Elgin,2003,Lethe Press
1573245216,The Giving Heart: Unlocking the Transformative Power of Generosity in Your Life,M. J. Ryan,2000,Conari Press
1567313671,Gratitude: Affirming the Good Things in Life,Melody Beattie,2000,MJF Books
1878424424,The Mastery of Love: A Practical Guide to the Art of Relationship: A Toltec Wisdom Book,Miguel Ruiz,1999,Amber-Allen Publishing
553109839,The Patient,Michael Palmer,2000,Bantam Books
140296409,Disgrace,J. M. Coetzee,2000,Penguin Books
3442442354,Der Strand,Alex Garland,2000,Wilhelm Goldmann Verlag
451192613,Irresistible Impulse,Robert K. Tanenbaum,1998,Signet Book
451138481,Life Penalty,Joy Fielding,1994,Signet Book
670891576,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,2000,Penguin Putnam
395264758,Picture Palace: A Novel,Paul Theroux,1978,Houghton Mifflin Company
140259112,Bed &amp; Breakfast,Lois Battle,1997,Penguin Books
375401598,Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf
553106678,The Matarese Countdown,Robert Ludlum,1997,Bantam
684802988,FLOOD TIDE,Clive Cussler,1997,Simon &amp; Schuster
61000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch
312055145,Shakespeare on Love: Quotations from the Plays and Poems,William Shakespeare,1991,St. Martin's Press
60617225,The Way to Freedom: Core Teachings of Tibetan Buddhism,Bstan-Dzin-Rgya-Mtsho,1994,HarperSanFrancisco
